@relation  saggedV+AngleChange+NegSeq

@attribute v_sag_1 numeric
@attribute delta_v numeric
@attribute sub_phase_2_1 numeric
@attribute sub_phase_3_2 numeric
@attribute class {ground, line, phase, nofault}
@data
0.9064, 0.0331, 0.0639, 0.0142, ground
0.9064, 0.0331, 0.0639, 0.0143, ground
0.9059, 0.0329, 0.0726, 0.0004, ground
0.9059, 0.0329, 0.0728, 0.0005, ground
0.9099, 0.0326, 0.0546, 0.0222, ground
0.9409, 0.0326, 0.0036, 0.0009, phase
0.941, 0.0326, 0.0035, 0.0009, phase
0.9064, 0.0323, 0.0703, 0.014, ground
0.9064, 0.0323, 0.0703, 0.0142, ground
0.9093, 0.0323, 0.0621, 0.0105, ground
0.9064, 0.0323, 0.0703, 0.0141, ground
0.9064, 0.0323, 0.0703, 0.0141, ground
0.9093, 0.0323, 0.0621, 0.0105, ground
0.94, 0.0322, 0.0057, 0.0015, phase
0.94, 0.0322, 0.0057, 0.0016, phase
0.912, 0.0321, 0.0512, 0.0229, ground
0.9121, 0.0321, 0.0511, 0.0229, ground
0.9085, 0.0319, 0.0655, 0.0147, ground
0.9085, 0.0319, 0.0654, 0.0148, ground
0.9074, 0.0319, 0.0728, 0.0053, ground
0.9106, 0.0319, 0.0614, 0.0084, ground
0.9075, 0.0319, 0.0726, 0.0055, ground
0.9111, 0.0318, 0.0612, 0.0078, ground
0.9051, 0.0316, 0.0949, 0.0032, ground
0.9083, 0.0316, 0.0707, 0.0086, ground
